,image_id,tp,fp,fn,precision,recall
234,008300,6,0,6,1.0,0.5
235,034043,4,0,12,1.0,0.25
236,030311,7,0,11,1.0,0.389
237,004822,11,0,26,1.0,0.297
238,010876,3,0,9,1.0,0.25
239,016220,4,1,8,0.8,0.333
240,025119,12,1,20,0.923,0.375
241,012383,5,0,5,1.0,0.5
242,032884,18,1,28,0.947,0.391
243,036993,6,0,8,1.0,0.429
244,031925,1,0,6,1.0,0.143
245,016586,10,0,11,1.0,0.476
246,001448,21,0,33,1.0,0.389
247,001144,6,0,11,1.0,0.353
248,017388,1,3,5,0.25,0.167
249,045862,2,0,1,1.0,0.667
250,034287,1,0,5,1.0,0.167
251,029656,1,0,6,1.0,0.143
252,029546,4,0,3,1.0,0.571
253,037098,9,0,42,1.0,0.176
254,017585,0,1,7,0.0,0.0
255,007566,2,1,14,0.667,0.125
256,022573,3,3,9,0.5,0.25
257,025072,9,1,19,0.9,0.321
258,039949,13,1,19,0.929,0.406
259,049422,9,0,11,1.0,0.45
260,016348,0,1,7,0.0,0.0
261,023142,4,2,10,0.667,0.286
262,002769,11,0,16,1.0,0.407
263,002301,3,0,5,1.0,0.375
264,019263,6,0,12,1.0,0.333
265,031417,4,0,22,1.0,0.154
266,017687,6,0,10,1.0,0.375
267,041908,7,2,11,0.778,0.389
268,040455,15,1,30,0.937,0.333
269,005765,6,2,2,0.75,0.75
270,005922,7,0,10,1.0,0.412
271,047971,1,0,2,1.0,0.333
272,010940,2,0,1,1.0,0.667
273,027657,2,0,21,1.0,0.087
274,010259,4,0,19,1.0,0.174
275,036348,8,1,9,0.889,0.471
276,048236,7,0,10,1.0,0.412
277,022264,5,0,21,1.0,0.192
278,029205,1,0,7,1.0,0.125
279,018979,7,0,6,1.0,0.538
280,032027,5,0,16,1.0,0.238
281,045404,19,0,74,1.0,0.204
282,016224,1,1,10,0.5,0.091
283,018307,13,1,9,0.929,0.591
284,020281,5,0,4,1.0,0.556
285,010383,26,0,34,1.0,0.433
286,037051,7,0,15,1.0,0.318
287,022830,9,0,8,1.0,0.529
288,037861,2,0,7,1.0,0.222
289,018922,13,1,26,0.929,0.333
290,003512,9,0,31,1.0,0.225
291,010938,2,1,9,0.667,0.182
292,044787,9,0,9,1.0,0.5
293,048201,5,1,9,0.833,0.357
294,012102,1,1,1,0.5,0.5
295,019059,2,0,14,1.0,0.125
296,022267,20,0,22,1.0,0.476
297,045549,4,0,7,1.0,0.364
298,039165,2,0,9,1.0,0.182
299,046404,13,2,11,0.867,0.542
300,034170,1,0,4,1.0,0.2
301,032271,1,0,2,1.0,0.333
302,038196,3,0,5,1.0,0.375
303,046690,6,0,4,1.0,0.6
304,039795,10,0,27,1.0,0.27
305,015609,4,0,9,1.0,0.308
306,010227,4,0,9,1.0,0.308
307,046848,5,0,5,1.0,0.5
308,039418,4,0,17,1.0,0.19
309,031859,6,0,11,1.0,0.353
310,046429,12,4,34,0.75,0.261
311,033945,1,0,1,1.0,0.5
312,048296,3,0,18,1.0,0.143
313,005270,4,0,3,1.0,0.571
314,020855,16,1,23,0.941,0.41
315,041368,0,2,3,0.0,0.0
316,035269,5,0,3,1.0,0.625
317,000369,4,0,8,1.0,0.333
318,047635,4,2,9,0.667,0.308
319,019738,4,0,8,1.0,0.333
320,046053,7,1,14,0.875,0.333
321,017555,8,1,11,0.889,0.421
322,015441,9,0,26,1.0,0.257
323,040582,19,0,18,1.0,0.514
324,025820,2,1,8,0.667,0.2
325,041961,4,0,8,1.0,0.333
326,022461,6,0,13,1.0,0.316
327,007614,11,0,24,1.0,0.314
328,018768,10,0,18,1.0,0.357
329,014006,1,0,2,1.0,0.333
330,022498,5,0,16,1.0,0.238
331,043892,6,1,8,0.857,0.429
332,041332,16,0,28,1.0,0.364
333,048799,3,0,9,1.0,0.25
334,035430,1,1,8,0.5,0.111
335,020995,12,2,16,0.857,0.429
336,003034,2,0,9,1.0,0.182
337,018484,2,0,14,1.0,0.125
338,007612,4,0,10,1.0,0.286
339,034764,1,0,16,1.0,0.059
340,006543,9,0,9,1.0,0.5
341,003553,14,0,16,1.0,0.467
342,040977,6,0,12,1.0,0.333
343,001532,6,2,6,0.75,0.5
344,026639,5,0,9,1.0,0.357
345,027249,2,0,1,1.0,0.667
346,010236,9,0,4,1.0,0.692
347,009913,5,1,26,0.833,0.161
348,026863,8,1,16,0.889,0.333
349,023284,2,0,3,1.0,0.4
350,017282,10,0,16,1.0,0.385
351,042350,12,0,28,1.0,0.3
352,040002,8,0,8,1.0,0.5
353,033206,5,1,4,0.833,0.556
354,049296,6,1,27,0.857,0.182
355,025003,8,1,11,0.889,0.421
356,039266,10,0,13,1.0,0.435
357,016925,5,0,15,1.0,0.25
358,032569,8,0,18,1.0,0.308
359,040673,10,0,12,1.0,0.455
360,026081,15,0,18,1.0,0.455
361,031888,9,1,12,0.9,0.429
362,032319,2,0,3,1.0,0.4
363,000374,5,0,3,1.0,0.625
364,032069,10,1,13,0.909,0.435
365,015613,13,0,17,1.0,0.433
366,031012,4,0,4,1.0,0.5
367,012613,23,1,22,0.958,0.511
368,034158,9,0,25,1.0,0.265
369,013354,8,0,16,1.0,0.333
370,014304,9,0,15,1.0,0.375
371,000999,10,1,23,0.909,0.303
372,034254,3,0,8,1.0,0.273
373,047184,2,1,3,0.667,0.4
374,034462,5,3,6,0.625,0.455
375,033064,11,1,16,0.917,0.407
376,031630,4,0,8,1.0,0.333
377,005470,3,0,5,1.0,0.375
378,036330,3,0,27,1.0,0.1
379,048658,11,1,14,0.917,0.44
380,023152,1,0,5,1.0,0.167
381,002624,14,1,5,0.933,0.737
382,042574,13,1,19,0.929,0.406
383,015208,2,0,8,1.0,0.2
384,007573,6,2,8,0.75,0.429
385,041526,4,0,19,1.0,0.174
386,011448,5,0,8,1.0,0.385
387,022563,3,0,7,1.0,0.3
388,037843,7,1,7,0.875,0.5
389,033212,7,0,11,1.0,0.389
390,045112,8,0,31,1.0,0.205
391,030768,16,0,10,1.0,0.615
392,005980,4,0,1,1.0,0.8
393,020165,4,0,10,1.0,0.286
394,025096,10,0,14,1.0,0.417
395,038939,8,1,10,0.889,0.444
396,042675,4,0,19,1.0,0.174
397,019243,2,0,14,1.0,0.125
398,018938,3,0,7,1.0,0.3
399,041740,6,1,30,0.857,0.167
400,010107,3,0,16,1.0,0.158
401,019927,5,0,16,1.0,0.238
402,038507,14,2,18,0.875,0.437
403,033332,4,0,31,1.0,0.114
404,013846,2,0,6,1.0,0.25
405,025203,9,0,16,1.0,0.36
406,009013,17,1,10,0.944,0.63
407,006829,2,1,14,0.667,0.125
408,046674,4,0,17,1.0,0.19
409,035312,7,1,13,0.875,0.35
410,011543,6,0,16,1.0,0.273
411,043352,2,0,17,1.0,0.105
412,012809,7,0,20,1.0,0.259
413,014770,3,0,10,1.0,0.231
414,046600,12,0,7,1.0,0.632
415,037871,2,0,3,1.0,0.4
416,010529,7,1,15,0.875,0.318
417,005196,6,2,11,0.75,0.353
418,035533,10,0,40,1.0,0.2
