image_id,tp,fp,fn,tn,precision,recall,accuracy
001888,2,0,7,62,1.0,0.222,0.901
001897,0,2,11,47,0.0,0.0,0.783
001913,3,2,12,19,0.6,0.2,0.611
001914,8,0,7,79,1.0,0.533,0.926
001923,6,1,16,39,0.857,0.273,0.726
001956,1,3,6,5,0.25,0.143,0.4
001964,12,9,25,29,0.571,0.324,0.547
001984,4,4,29,14,0.5,0.121,0.353
001995,2,3,12,31,0.4,0.143,0.688
001997,3,3,17,120,0.5,0.15,0.86
002017,2,2,9,90,0.5,0.182,0.893
002030,8,4,18,29,0.667,0.308,0.627
002076,1,4,6,10,0.2,0.143,0.524
002089,2,10,15,60,0.167,0.118,0.713
002098,8,3,13,19,0.727,0.381,0.628
002104,8,5,39,35,0.615,0.17,0.494
002114,2,1,14,136,0.667,0.125,0.902
002116,7,2,35,16,0.778,0.167,0.383
002117,6,3,16,40,0.667,0.273,0.708
002134,1,2,27,74,0.333,0.036,0.721
002145,6,4,27,28,0.6,0.182,0.523
002161,5,4,3,25,0.556,0.625,0.811
002180,7,2,16,83,0.778,0.304,0.833
002183,6,3,8,105,0.667,0.429,0.91
002194,5,2,5,14,0.714,0.5,0.731
002196,1,3,12,25,0.25,0.077,0.634
002208,13,5,21,29,0.722,0.382,0.618
002229,3,1,16,17,0.75,0.158,0.541
002239,3,0,5,36,1.0,0.375,0.886
002253,5,13,24,32,0.278,0.172,0.5
002256,7,2,39,31,0.778,0.152,0.481
002277,5,5,11,20,0.5,0.312,0.61
002281,5,3,38,21,0.625,0.116,0.388
002285,3,4,11,44,0.429,0.214,0.758
002291,13,4,21,21,0.765,0.382,0.576
002298,4,1,12,35,0.8,0.25,0.75
002306,4,0,11,27,1.0,0.267,0.738
002310,11,1,18,22,0.917,0.379,0.635
002325,6,0,25,36,1.0,0.194,0.627
002330,2,1,8,51,0.667,0.2,0.855
002333,6,1,24,22,0.857,0.2,0.528
002337,5,1,22,53,0.833,0.185,0.716
002356,4,0,3,42,1.0,0.571,0.939
002382,5,7,12,33,0.417,0.294,0.667
002392,3,0,11,22,1.0,0.214,0.694
002403,3,2,10,89,0.6,0.231,0.885
002418,5,4,40,26,0.556,0.111,0.413
002447,3,4,32,81,0.429,0.086,0.7
002456,14,4,18,25,0.778,0.437,0.639
002461,7,5,17,51,0.583,0.292,0.725
002466,9,8,18,92,0.529,0.333,0.795
002471,6,1,40,44,0.857,0.13,0.549
002474,4,1,7,56,0.8,0.364,0.882
002489,4,0,17,89,1.0,0.19,0.845
002510,8,1,16,77,0.889,0.333,0.833
002512,4,3,35,54,0.571,0.103,0.604
002513,16,3,10,15,0.842,0.615,0.705
002520,7,5,13,37,0.583,0.35,0.71
002522,12,3,24,30,0.8,0.333,0.609
002525,3,3,31,86,0.5,0.088,0.724
002528,6,5,20,40,0.545,0.231,0.648
002529,1,0,17,30,1.0,0.056,0.646
002531,6,5,45,30,0.545,0.118,0.419
002533,10,4,17,40,0.714,0.37,0.704
002535,3,1,24,48,0.75,0.111,0.671
002566,9,3,13,46,0.75,0.409,0.775
002578,1,0,0,28,1.0,1.0,1.0
002607,6,0,13,52,1.0,0.316,0.817
002612,7,6,20,53,0.538,0.259,0.698
002618,4,0,3,47,1.0,0.571,0.944
002640,2,4,3,16,0.333,0.4,0.72
002641,7,3,25,40,0.7,0.219,0.627
002647,7,6,20,108,0.538,0.259,0.816
002697,11,3,22,17,0.786,0.333,0.528
002701,10,1,24,104,0.909,0.294,0.82
002704,7,2,16,37,0.778,0.304,0.71
002706,4,0,22,74,1.0,0.154,0.78
002709,9,7,29,57,0.562,0.237,0.647
002718,4,4,14,29,0.5,0.222,0.647
002722,2,3,8,97,0.4,0.2,0.9
002728,1,1,31,25,0.5,0.031,0.448
002758,8,2,16,37,0.8,0.333,0.714
002761,12,4,25,47,0.75,0.324,0.67
002771,3,1,12,114,0.75,0.2,0.9
002785,2,1,4,69,0.667,0.333,0.934
002819,1,1,5,78,0.5,0.167,0.929
002826,12,5,54,40,0.706,0.182,0.468
002833,2,1,8,81,0.667,0.2,0.902
002837,7,3,20,68,0.7,0.259,0.765
002841,6,2,5,34,0.75,0.545,0.851
002844,2,1,5,23,0.667,0.286,0.806
002847,4,3,36,48,0.571,0.1,0.571
002859,3,2,8,67,0.6,0.273,0.875
002864,12,4,17,39,0.75,0.414,0.708
002871,6,1,4,88,0.857,0.6,0.949
002873,1,1,25,28,0.5,0.038,0.527
002874,6,3,25,16,0.667,0.194,0.44
002883,12,6,20,40,0.667,0.375,0.667
002893,6,0,6,66,1.0,0.5,0.923
002899,8,1,15,28,0.889,0.348,0.692
002943,13,2,10,22,0.867,0.565,0.745
002947,2,1,12,25,0.667,0.143,0.675
002964,7,3,9,48,0.7,0.437,0.821
002970,1,1,7,36,0.5,0.125,0.822
002975,7,2,13,40,0.778,0.35,0.758
002983,3,3,13,25,0.5,0.187,0.636
002988,6,4,14,74,0.6,0.3,0.816
003002,6,5,8,45,0.545,0.429,0.797
003035,1,1,5,26,0.5,0.167,0.818
003045,6,4,23,13,0.6,0.207,0.413
003055,3,0,10,33,1.0,0.231,0.783
003058,10,0,7,53,1.0,0.588,0.9
003071,4,0,2,25,1.0,0.667,0.935
003081,2,4,31,20,0.333,0.061,0.386
003086,10,2,27,55,0.833,0.27,0.691
003090,2,5,12,86,0.286,0.143,0.838
003094,13,6,19,42,0.684,0.406,0.688
003106,1,0,3,45,1.0,0.25,0.939
003112,5,1,12,105,0.833,0.294,0.894
003117,7,3,25,25,0.7,0.219,0.533
003121,10,4,43,45,0.714,0.189,0.539
003125,6,2,25,83,0.75,0.194,0.767
003127,5,0,2,34,1.0,0.714,0.951
003138,2,0,5,17,1.0,0.286,0.792
003154,7,5,24,56,0.583,0.226,0.685
003171,6,6,34,48,0.5,0.15,0.574
003176,9,8,27,26,0.529,0.25,0.5
003197,2,0,1,27,1.0,0.667,0.967
003231,1,3,8,53,0.25,0.111,0.831
003234,7,2,21,33,0.778,0.25,0.635
003241,9,2,33,18,0.818,0.214,0.435
003243,1,0,3,8,1.0,0.25,0.75
003261,1,2,9,58,0.333,0.1,0.843
003267,2,4,18,21,0.333,0.1,0.511
003270,4,5,9,21,0.444,0.308,0.641
003277,5,5,37,67,0.5,0.119,0.632
003284,6,4,29,56,0.6,0.171,0.653
003292,2,6,37,19,0.25,0.051,0.328
003299,3,7,21,36,0.3,0.125,0.582
003306,1,2,5,92,0.333,0.167,0.93
003307,1,1,5,44,0.5,0.167,0.882
003310,5,1,8,35,0.833,0.385,0.816
003339,7,2,29,55,0.778,0.194,0.667
003342,5,1,5,68,0.833,0.5,0.924
003365,1,0,1,60,1.0,0.5,0.984
003374,8,2,24,73,0.8,0.25,0.757
003395,8,0,9,60,1.0,0.471,0.883
003404,6,2,9,24,0.75,0.4,0.732
003407,5,2,5,57,0.714,0.5,0.899
003411,5,2,10,41,0.714,0.333,0.793
003424,5,5,13,76,0.5,0.278,0.818
003430,3,4,10,19,0.429,0.231,0.611
003437,5,0,15,59,1.0,0.25,0.81
003439,10,5,22,74,0.667,0.312,0.757
003462,10,15,27,22,0.4,0.27,0.432
003465,0,4,8,29,0.0,0.0,0.707
003509,2,0,12,105,1.0,0.143,0.899
003526,10,6,22,55,0.625,0.312,0.699
003533,3,0,5,51,1.0,0.375,0.915
003543,0,1,11,46,0.0,0.0,0.793
003544,2,1,8,23,0.667,0.2,0.735
003571,4,1,7,75,0.8,0.364,0.908
003572,7,3,17,24,0.7,0.292,0.608
003577,4,1,9,32,0.8,0.308,0.783
003614,2,0,5,64,1.0,0.286,0.93
003622,7,3,14,62,0.7,0.333,0.802
003633,2,2,22,42,0.5,0.083,0.647
003663,2,0,14,37,1.0,0.125,0.736
003686,11,0,17,10,1.0,0.393,0.553
003691,6,4,28,54,0.6,0.176,0.652
003699,8,6,14,8,0.571,0.364,0.444
003701,3,2,5,51,0.6,0.375,0.885
003708,3,1,2,10,0.75,0.6,0.812
003720,5,7,10,30,0.417,0.333,0.673
003725,5,2,16,74,0.714,0.238,0.814
003730,1,2,14,23,0.333,0.067,0.6
003752,2,1,4,36,0.667,0.333,0.884
003756,3,1,11,14,0.75,0.214,0.586
003758,5,2,14,71,0.714,0.263,0.826
003761,3,1,7,62,0.75,0.3,0.89
003764,6,1,7,54,0.857,0.462,0.882
003769,7,5,20,14,0.583,0.259,0.457
003777,2,0,3,9,1.0,0.4,0.786
003809,6,5,18,44,0.545,0.25,0.685
003828,3,0,4,43,1.0,0.429,0.92
003865,4,0,6,31,1.0,0.4,0.854
003874,4,0,9,30,1.0,0.308,0.791
003885,6,2,13,71,0.75,0.316,0.837
003925,0,3,3,35,0.0,0.0,0.854
003930,1,3,7,23,0.25,0.125,0.706
003934,7,3,18,30,0.7,0.28,0.638
003940,3,0,7,21,1.0,0.3,0.774
003945,4,3,11,88,0.571,0.267,0.868
003946,9,0,24,40,1.0,0.273,0.671
003958,6,0,7,22,1.0,0.462,0.8
003978,5,2,20,37,0.714,0.2,0.656
003995,11,2,29,52,0.846,0.275,0.67
003999,2,0,6,55,1.0,0.25,0.905
004002,1,0,6,27,1.0,0.143,0.824
004006,7,4,22,56,0.636,0.241,0.708
004013,9,3,36,20,0.75,0.2,0.426
004022,8,3,24,50,0.727,0.25,0.682
004044,8,5,23,38,0.615,0.258,0.622
004061,3,1,11,94,0.75,0.214,0.89
004070,2,2,3,18,0.5,0.4,0.8
004109,3,0,12,76,1.0,0.2,0.868
004135,12,3,8,54,0.8,0.6,0.857
004151,3,4,8,22,0.429,0.273,0.676
004168,6,0,11,28,1.0,0.353,0.756
004176,1,0,1,49,1.0,0.5,0.98
004183,0,3,10,23,0.0,0.0,0.639
004197,0,1,17,34,0.0,0.0,0.654
004201,10,4,42,41,0.714,0.192,0.526
004229,3,0,15,30,1.0,0.167,0.688
004235,4,2,8,44,0.667,0.333,0.828
004245,1,1,16,43,0.5,0.059,0.721
004254,5,3,16,30,0.625,0.238,0.648
004285,9,2,22,14,0.818,0.29,0.489
004286,6,3,25,22,0.667,0.194,0.5
004297,2,0,13,104,1.0,0.133,0.891
004301,8,0,26,15,1.0,0.235,0.469
004304,6,4,37,49,0.6,0.14,0.573
004330,6,2,16,25,0.75,0.273,0.633
004341,9,1,28,54,0.9,0.243,0.685
004350,11,4,27,32,0.733,0.289,0.581
004355,3,2,3,27,0.6,0.5,0.857
004356,4,1,11,95,0.8,0.267,0.892
004366,9,3,13,39,0.75,0.409,0.75
004377,5,0,7,40,1.0,0.417,0.865
004379,7,7,22,26,0.5,0.241,0.532
004383,10,4,49,9,0.714,0.169,0.264
004398,2,2,3,36,0.5,0.4,0.884
004411,6,1,17,29,0.857,0.261,0.66
004460,8,2,16,28,0.8,0.333,0.667
004493,3,2,13,39,0.6,0.187,0.737
004494,10,2,17,45,0.833,0.37,0.743
004511,13,2,14,43,0.867,0.481,0.778
004512,8,1,16,22,0.889,0.333,0.638
004526,2,1,9,68,0.667,0.182,0.875
004556,6,10,45,5,0.375,0.118,0.167
004560,4,3,20,69,0.571,0.167,0.76
004564,3,2,23,29,0.6,0.115,0.561
004566,2,3,8,22,0.4,0.2,0.686
004568,15,3,17,26,0.833,0.469,0.672
004576,3,6,22,16,0.333,0.12,0.404
004580,8,10,41,36,0.444,0.163,0.463
004596,3,1,2,36,0.75,0.6,0.929
004618,9,3,29,14,0.75,0.237,0.418
004623,1,2,11,31,0.333,0.083,0.711
004631,7,2,12,18,0.778,0.368,0.641
004646,3,1,5,51,0.75,0.375,0.9
004663,11,4,13,34,0.733,0.458,0.726
004665,7,1,13,48,0.875,0.35,0.797
004669,2,5,10,17,0.286,0.167,0.559
004672,2,2,1,48,0.5,0.667,0.943
004677,4,0,31,82,1.0,0.114,0.735
004687,0,2,11,32,0.0,0.0,0.711
004691,2,2,5,50,0.5,0.286,0.881
004694,5,0,7,25,1.0,0.417,0.811
004713,11,2,14,31,0.846,0.44,0.724
004716,11,3,14,40,0.786,0.44,0.75
004718,3,2,8,103,0.6,0.273,0.914
004724,1,4,18,30,0.2,0.053,0.585
004729,8,2,15,107,0.8,0.348,0.871
004753,9,1,23,92,0.9,0.281,0.808
004763,5,1,9,72,0.833,0.357,0.885
004774,7,5,22,37,0.583,0.241,0.62
004777,3,2,6,74,0.6,0.333,0.906
004802,1,1,7,6,0.5,0.125,0.467
004808,6,2,11,9,0.75,0.353,0.536
004809,9,4,12,40,0.692,0.429,0.754
004814,5,2,10,25,0.714,0.333,0.714
004825,2,2,11,90,0.5,0.154,0.876
004829,9,0,12,75,1.0,0.429,0.875
004839,1,2,16,46,0.333,0.059,0.723
004841,3,2,5,17,0.6,0.375,0.741
004861,5,1,5,41,0.833,0.5,0.885
004870,2,1,12,93,0.667,0.143,0.88
004875,5,0,13,42,1.0,0.278,0.783
004884,7,5,32,28,0.583,0.179,0.486
004886,8,1,3,24,0.889,0.727,0.889
004892,15,6,31,30,0.714,0.326,0.549
004905,1,1,9,43,0.5,0.1,0.815
004906,7,4,14,58,0.636,0.333,0.783
004907,1,2,7,63,0.333,0.125,0.877
004915,7,3,7,48,0.7,0.5,0.846
004939,4,2,20,39,0.667,0.167,0.662
004945,3,1,7,15,0.75,0.3,0.692
004951,2,2,9,9,0.5,0.182,0.5
004961,2,0,6,110,1.0,0.25,0.949
004967,5,6,14,95,0.455,0.263,0.833
004978,0,1,0,30,0.0,0.0,0.968
004985,2,1,4,34,0.667,0.333,0.878
005031,1,0,8,33,1.0,0.111,0.81
005043,0,3,3,20,0.0,0.0,0.769
005064,4,1,7,35,0.8,0.364,0.83
005067,3,0,11,15,1.0,0.214,0.621
005079,1,1,9,53,0.5,0.1,0.844
005091,7,1,12,33,0.875,0.368,0.755
005142,5,1,9,47,0.833,0.357,0.839
005143,5,0,1,36,1.0,0.833,0.976
005166,2,0,7,75,1.0,0.222,0.917
005168,1,0,3,1,1.0,0.25,0.4
005172,6,1,3,33,0.857,0.667,0.907
005180,5,3,52,15,0.625,0.088,0.267
005186,5,4,67,25,0.556,0.069,0.297
005199,6,4,19,72,0.6,0.24,0.772
005210,3,0,2,14,1.0,0.6,0.895
005230,4,1,13,52,0.8,0.235,0.8
005232,14,1,26,32,0.933,0.35,0.63
005234,3,0,16,79,1.0,0.158,0.837
005277,0,1,2,22,0.0,0.0,0.88
005290,1,0,6,61,1.0,0.143,0.912
005293,1,0,6,49,1.0,0.143,0.893
005307,9,2,5,42,0.818,0.643,0.879
005319,6,0,5,42,1.0,0.545,0.906
005325,5,4,17,8,0.556,0.227,0.382
005326,9,8,32,16,0.529,0.22,0.385
005335,1,2,8,43,0.333,0.111,0.815
005355,1,2,2,35,0.333,0.333,0.9
005378,5,1,15,68,0.833,0.25,0.82
005389,9,4,10,22,0.692,0.474,0.689
005397,2,0,4,14,1.0,0.333,0.8
005403,4,1,15,33,0.8,0.211,0.698
